Time	EMG	Muscle Force
0.222	0.0295731	0.26746
0.223	-0.0388509	0.26746
0.224	-0.11388	0.26746
0.225	-0.0851474	0.26709
0.226	0.00229312	0.26709
0.227	0.10105	0.26746
0.228	0.0446659	0.26746
0.229	0.0578211	0.26746
0.23	0.023286	0.26709
0.231	-0.0747855	0.26746
0.232	-0.0891421	0.26746
0.233	-0.0436068	0.26709
0.234	0.0346117	0.26746
0.235	0.0597728	0.26746
0.236	0.0706148	0.26746
0.237	0.0443214	0.26746
0.238	-0.0906397	0.26746
0.239	-0.0505533	0.26746
0.24	-0.0164008	0.26746
0.241	-6.21226e-05	0.26746
0.242	0.0356525	0.26746
0.243	0.0280879	0.26746
0.244	-0.00345646	0.26746
0.245	-0.00721221	0.26746
0.246	0.00724445	0.26746
0.247	0.0362532	0.26746
0.248	-0.00205352	0.26746
0.249	-0.0485247	0.26746
0.25	-0.0618244	0.26746
0.251	-0.01514	0.26746
0.252	0.00568032	0.26746
0.253	0.104749	0.26746
0.254	0.0826297	0.26746
0.255	-0.0216171	0.26746
0.256	-0.0785516	0.26746
0.257	-0.0668324	0.26746
0.258	-0.0481691	0.26746
0.259	0.0581468	0.26746
0.26	0.0881036	0.26746
0.261	-0.00589839	0.26746
0.262	-0.0153325	0.26746
0.263	-0.0296077	0.26709
0.264	-0.00349728	0.26746
0.265	-0.0131781	0.26746
0.266	0.00700697	0.26709
0.267	0.0251066	0.26746
0.268	-0.00160127	0.26746
0.269	0.0251304	0.26709
0.27	0.0328499	0.26709
0.271	-0.0488772	0.26709
0.272	-0.0900569	0.26709
0.273	-0.086318	0.26746
0.274	0.0978248	0.26709
0.275	0.167203	0.26709
0.276	0.0482774	0.26709
0.277	-0.0391889	0.26709
0.278	-0.141449	0.26709
0.279	-0.120627	0.26709
0.28	0.0415175	0.26709
0.281	0.101393	0.26709
0.282	0.0701521	0.26709
0.283	0.0137711	0.26709
0.284	-0.0519654	0.26709
0.285	-0.0819834	0.26709
0.286	-0.000169708	0.26709
0.287	0.0599757	0.26709
0.288	0.0267933	0.26709
0.289	-0.00633533	0.26709
0.29	0.00069439	0.26709
0.291	-0.014407	0.26709
0.292	-0.0524805	0.26709
0.293	0.016787	0.26709
0.294	0.0392358	0.26709
0.295	-0.0544058	0.26709
0.296	0.00535331	0.26709
0.297	0.0592928	0.26709
0.298	0.0075732	0.26746
0.299	0.0258723	0.26709
0.3	-0.0167037	0.26709
0.301	-0.0502421	0.26709
0.302	-0.0506692	0.26709
0.303	-0.001192	0.26709
0.304	0.0378658	0.26709
0.305	0.025969	0.26746
0.306	0.009409	0.26709
0.307	0.0211504	0.26709
0.308	-0.00101664	0.26709
0.309	-0.000503495	0.26709
0.31	0.00253025	0.26709
0.311	-0.0487367	0.26709
0.312	-0.0574721	0.26709
0.313	0.00405205	0.26709
0.314	0.0366686	0.26709
0.315	0.0594563	0.26709
0.316	0.00659404	0.26746
0.317	0.0118598	0.26709
0.318	0.0175195	0.26709
0.319	-0.0323406	0.26709
0.32	-0.0721126	0.26709
0.321	-0.0770826	0.26746
0.322	0.0371135	0.26746
0.323	0.0698276	0.26746
0.324	0.0595878	0.26746
0.325	0.0448388	0.26709
0.326	-0.000559425	0.26709
0.327	-0.0566927	0.26709
0.328	-0.118433	0.26709
0.329	-0.0553566	0.26709
0.33	0.0583862	0.26746
0.331	0.0681042	0.26746
0.332	0.0722641	0.26709
0.333	0.0646061	0.26709
0.334	-0.0345678	0.26709
0.335	-0.106686	0.26709
0.336	-0.0609784	0.26746
0.337	-0.0188065	0.26709
0.338	0.0211481	0.26709
0.339	0.0690633	0.26746
0.34	0.0405218	0.26709
0.341	0.0117617	0.26746
0.342	0.0166852	0.26746
0.343	0.0148695	0.26709
0.344	-0.0449218	0.26746
0.345	-0.093429	0.26709
0.346	-0.0942938	0.26709
0.347	0.00939729	0.26746
0.348	0.136743	0.26709
0.349	0.12963	0.26709
0.35	0.0281401	0.26709
0.351	-0.0623352	0.26746
0.352	-0.10165	0.26709
0.353	-0.0736287	0.26709
0.354	-0.036321	0.26746
0.355	0.0629293	0.26746
0.356	0.0919342	0.26746
0.357	0.0157676	0.26709
0.358	-0.023464	0.26746
0.359	-0.00804895	0.26709
0.36	0.0329024	0.26709
0.361	-0.0479362	0.26709
0.362	-0.0591414	0.26746
0.363	0.00468641	0.26709
0.364	0.0496927	0.26709
0.365	0.06553	0.26709
0.366	-0.0109902	0.26709
0.367	-0.0695146	0.26709
0.368	-0.058859	0.26709
0.369	0.0366452	0.26709
0.37	0.0631299	0.26709
0.371	0.00607389	0.26709
0.372	0.012877	0.26709
0.373	-0.0172215	0.26746
0.374	-0.0393528	0.26709
0.375	-0.0296934	0.26746
0.376	0.0151121	0.26709
0.377	0.0638591	0.26709
0.378	-0.00497883	0.26709
0.379	-0.0286128	0.26709
0.38	-0.0198607	0.26709
0.381	-0.0129583	0.26746
0.382	-0.0177364	0.26746
0.383	0.0523456	0.26709
0.384	0.0683393	0.26746
0.385	-0.0292345	0.26746
0.386	-0.0256537	0.26746
0.387	-0.0216766	0.26746
0.388	-0.0380206	0.26709
0.389	0.00959773	0.26709
0.39	0.00808536	0.26709
0.391	0.00374492	0.26709
0.392	0.0384772	0.26709
0.393	0.0388056	0.26709
0.394	-0.0160433	0.26709
0.395	-0.0594204	0.26709
0.396	0.00144639	0.26709
0.397	0.0335776	0.26709
0.398	-0.0208395	0.26709
0.399	-0.0158342	0.26709
0.4	0.00504261	0.26709
0.401	-0.0137385	0.26709
0.402	0.01857	0.26709
0.403	0.0703151	0.26709
0.404	0.0133	0.26709
0.405	-0.0478528	0.26709
0.406	-0.0835626	0.26709
