Time	Lead II
3.97	0.285713
3.98	0.376809
3.99	0.3459
4	0.236658
4.01	0.282442
4.02	0.117148
4.03	0.107842
4.04	0.048017
4.05	-0.0292386
4.06	0.0534285
4.07	-0.062846
4.08	-0.00911007
4.09	-0.0190137
4.1	-0.0792098
4.11	0.027201
4.12	-0.0596431
4.13	0.010511
4.14	0.00589897
4.15	-0.0463374
4.16	0.0505541
4.17	-0.0523355
4.18	-0.00130793
4.19	-0.0030487
4.2	-0.0502066
4.21	0.049506
4.22	-0.0534659
4.23	-0.00133061
4.24	-0.00419859
4.25	-0.0454181
4.26	0.0435334
4.27	-0.0581092
4.28	0.00310822
4.29	-0.00337904
4.3	-0.0684276
4.31	0.022568
4.32	-0.0610382
4.33	-0.0155268
4.34	-0.0354519
4.35	-0.0943724
4.36	0.0175679
4.37	-0.0726924
4.38	-0.00650602
4.39	0.00325647
4.4	-0.044728
4.41	0.0720279
4.42	0.0143874
4.43	0.0865584
4.44	0.082789
4.45	-0.00329218
4.46	0.0377366
4.47	-0.0957176
4.48	-0.035512
4.49	-0.0224008
4.5	-0.0670575
4.51	0.0272738
4.52	-0.101258
4.53	-0.0592347
4.54	-0.0388461
4.55	-0.0718779
4.56	0.150751
4.57	0.28141
4.58	0.291415
4.59	-0.0220282
4.6	-0.375713
4.61	-0.386024
4.62	-0.386508
4.63	-0.158622
4.64	-0.028918
4.65	-0.0257287
4.66	0.0943616
4.67	-0.0172153
4.68	0.0134387
4.69	0.0370469
4.7	0.00599535
4.71	0.104564
4.72	0.0311298
4.73	0.116624
4.74	0.14199
4.75	0.106965
4.76	0.23721
4.77	0.18918
4.78	0.286885
4.79	0.328322
4.8	0.272983
4.81	0.386173
4.82	0.302309
4.83	0.325741
4.84	0.25481
4.85	0.113444
4.86	0.169339
4.87	0.00714315
4.88	0.00122331
4.89	0.00409967
4.9	-0.0679167
4.91	-0.00194705
4.92	-0.0979255
4.93	-0.0307803
4.94	-0.0211343
4.95	-0.0738828
4.96	0.0302791
4.97	-0.0902474
4.98	-0.037334
4.99	-0.00918992
5	-0.0892609
5.01	0.00980976
5.02	-0.07223
5.03	-0.00865655
5.04	-0.00596552
5.05	-0.0794214
5.06	0.0221014
5.07	-0.0843442
5.08	-0.047879
5.09	-0.0172445
5.1	-0.0749163
5.11	0.00707945
5.12	-0.091768
5.13	-0.0421503
5.14	-0.027921
5.15	-0.0828862
5.16	0.0546436
5.17	0.00511997
5.18	0.069875
5.19	0.0757628
5.2	-0.0170169
5.21	0.0567814
5.22	-0.0544474
5.23	-0.0299132
5.24	-0.0355325
5.25	-0.10745
5.26	-0.0115569
5.27	-0.115829
5.28	-0.0811946
5.29	-0.0778799
5.3	-0.141782
5.31	-0.0103124
5.32	0.0456702
5.33	0.272891
5.34	0.197358
5.35	-0.151965
5.36	-0.299756
5.37	-0.469723
5.38	-0.329612
5.39	-0.163701
5.4	-0.144068
5.41	0.00114565
5.42	-0.0606539
5.43	0.0106152
5.44	0.0235292
5.45	-0.0442096
5.46	0.0686141
5.47	-0.0158523
5.48	0.0579601
5.49	0.10889
5.5	0.0584156
5.51	0.165898
5.52	0.113101
5.53	0.213817
5.54	0.262981
5.55	0.221976
5.56	0.358847
5.57	0.260631
