Time	Lead II
3.97	-0.00141703
3.98	0.0388622
3.99	0.0274351
4	0.0236993
4.01	-0.0026178
4.02	-0.0405902
4.03	-0.013502
4.04	-0.00535896
4.05	0.0287
4.06	0.036527
4.07	0.00473467
4.08	-0.00339762
4.09	-0.0623047
4.1	-0.048549
4.11	-0.00255881
4.12	0.00532088
4.13	0.0226347
4.14	0.00277713
4.15	0.000658239
4.16	-0.00214311
4.17	0.00676377
4.18	0.077635
4.19	0.0958521
4.2	0.0921836
4.21	0.0529295
4.22	0.00171687
4.23	5.15931e-06
4.24	-0.0358595
4.25	-0.0390429
4.26	-0.052568
4.27	-0.0747839
4.28	-0.0489162
4.29	-0.0725535
4.3	-0.0831324
4.31	-0.0882899
4.32	-0.0438248
4.33	0.136195
4.34	0.283743
4.35	0.160217
4.36	-0.161591
4.37	-0.409342
4.38	-0.398426
4.39	-0.288994
4.4	-0.139375
4.41	-0.061842
4.42	-0.0605634
4.43	-0.0530817
4.44	-0.0625593
4.45	-0.025495
4.46	0.00797537
4.47	0.0182795
4.48	0.0333874
4.49	0.000377722
4.5	-0.00278316
4.51	0.0314823
4.52	0.0829482
4.53	0.130652
4.54	0.124979
4.55	0.136748
4.56	0.142834
4.57	0.155098
4.58	0.201262
4.59	0.168611
4.6	0.132669
4.61	0.10692
4.62	0.0679614
4.63	0.0637079
4.64	0.0198368
4.65	-0.00551975
4.66	-0.0145141
4.67	-0.0125574
4.68	0.0232679
4.69	0.00462494
4.7	0.0154765
4.71	0.0140646
4.72	0.00228154
4.73	0.0370809
4.74	0.0215534
4.75	0.0319546
4.76	0.0274769
4.77	-0.00348189
4.78	0.0233719
4.79	0.0158498
4.8	0.0290251
4.81	0.0172045
4.82	-0.00707797
4.83	0.0180521
4.84	-0.0176694
4.85	-0.0219587
4.86	0.000138577
4.87	-0.00894702
4.88	0.000641568
4.89	-0.0263446
4.9	-0.0408588
4.91	-0.0330256
4.92	-0.0207167
4.93	-0.00687099
4.94	-0.0565188
4.95	-0.0710678
4.96	-0.0780085
4.97	-0.106447
4.98	-0.0855757
4.99	-0.0872716
5	-0.0654699
5.01	-0.0428414
5.02	-0.0324857
5.03	0.0276344
5.04	0.0446889
5.05	0.0368797
5.06	-0.00799734
5.07	-0.0488313
5.08	-0.0587767
5.09	-0.110964
5.1	-0.116421
