Time	Lead II
3.92	-0.323382
3.93	-0.32282
3.94	-0.195417
3.95	-0.0985988
3.96	-0.0519446
3.97	-0.0299764
3.98	-0.0272742
3.99	-0.00316369
4	-0.00158347
4.01	0.00400534
4.02	0.019998
4.03	0.018774
4.04	0.0430132
4.05	0.0548251
4.06	0.0747029
4.07	0.106436
4.08	0.126609
4.09	0.173438
4.1	0.2062
4.11	0.247791
4.12	0.296303
4.13	0.318074
4.14	0.345355
4.15	0.33015
4.16	0.289001
4.17	0.230418
4.18	0.146706
4.19	0.0927642
4.2	0.03644
4.21	0.0036981
4.22	-0.00887775
4.23	-0.0347796
4.24	-0.0351523
4.25	-0.0446134
4.26	-0.0454548
4.27	-0.0359204
4.28	-0.048186
4.29	-0.0399467
4.3	-0.0442695
4.31	-0.0434772
4.32	-0.0365574
4.33	-0.048443
4.34	-0.0330778
4.35	-0.0324717
4.36	-0.0340686
4.37	-0.0273486
4.38	-0.0375112
4.39	-0.031648
4.4	-0.0406592
4.41	-0.0425795
4.42	-0.0348051
4.43	-0.0455365
4.44	-0.0364931
4.45	-0.0436536
4.46	-0.0486567
4.47	-0.0447798
4.48	-0.0593474
4.49	-0.0505395
4.5	-0.0537222
4.51	-0.0565123
4.52	-0.0485684
4.53	-0.0599851
4.54	-0.0530251
4.55	-0.0580508
4.56	-0.0602956
4.57	-0.0537105
4.58	-0.0659418
4.59	-0.0573504
4.6	-0.0603149
4.61	-0.0655788
4.62	-0.0589892
4.63	-0.0622574
4.64	-0.0416461
4.65	-0.0309393
4.66	-0.0126067
4.67	0.0163441
4.68	0.016824
4.69	0.0184355
4.7	-0.00195888
4.71	-0.0222231
4.72	-0.0351284
4.73	-0.0657658
4.74	-0.0693094
4.75	-0.0819445
4.76	-0.094363
4.77	-0.090424
4.78	-0.0988353
4.79	-0.0855005
4.8	-0.0873257
4.81	-0.0799207
4.82	-0.0477252
4.83	0.0522377
4.84	0.327753
4.85	0.374932
4.86	0.0901603
4.87	-0.204368
4.88	-0.337469
4.89	-0.270214
4.9	-0.15381
4.91	-0.0671217
4.92	-0.0209659
4.93	-0.0231367
4.94	-0.00491192
4.95	0.00452173
4.96	0.0103826
4.97	0.0240616
4.98	0.0221627
4.99	0.0459705
5	0.0573354
5.01	0.0691811
5.02	0.0954688
5.03	0.109587
5.04	0.150579
5.05	0.184054
5.06	0.222933
5.07	0.273795
5.08	0.30082
5.09	0.337694
5.1	0.337442
5.11	0.312513
5.12	0.275116
5.13	0.197696
5.14	0.137556
5.15	0.0740094
5.16	0.0253384
5.17	0.00313093
5.18	-0.0256022
